type,instruction,pipelined,拍数,imm低字段,含义,备注
int arith inst,NOP,Y,"2拍，插一条不相关指令
add r1,r2,r3
nop
add r3,r4,r5","0：INT32
1： INT8
",,
,ADD,,,,,
,SUB,,,,,
,MUL,,,,,
,MAX,,,,,
,MIN,,,,,
,EQ,,,,,
,LT,,,,,
,GT,,,,,
,MADD,,,,,
unsigned int arith inst,UADD,,,,,
,USUB,,,,,
,UMUL,,,,,
,UMAX,,,,,
,DP4A,,,, ,"INT8 混合进度乘加指令  A(8bits) * B(8bits) + 32(bits)
imm='b00,A(uint8) * B(uint8) + uint32；
imm='b01,A(int8) * B(uint8) + int32；
imm='b10,A(uint8) * B(int8) + int32；
imm='b11,A(int8) * B(int8) + int32；"
,ULT,,,,,
,UGT,,,,,
,UMADD,,,,,
,COND,,,,,3操作数
,ULTS,,,,,只用于uint类型 操作数
logic inst,LSL,,,,,
,LSR,,,,,只用于uint类型 操作数
,OR,,,,,
,AND,,,,,
,NOT,,,,,
,XOR,,,,,
,ASR,,,,,只用于int类型 操作数
imm inst,IMM,,,,,
,FIMM,,,,,"IMM+FIMM组合使用：其中FIMM把立即数赋值到[1,3,5,…,31]的16个simd分量中，用于拼接64bit的数"
float arith inst,FADD,Y,"2拍
FADD R0,r1,r2
nop
FADD r2,r3,r4",,,
,FSUB,,,,,
,FMUL,,,,,
,FMAX,,,,,
,FLT,,,,,
,FGT,,,,,
,FMADD,,,,,
,FMIN,,,,,
