Name,Function,Source operand,,,Destination  operand
arith inst,a(31:0) means 32simds            a[31:0] means 32bits
ADD,Value(Operand index 2)  = Value(Operand index 0) + Value(Operand index 1) ,Operand index 0,Operand index 1,,Operand index 2
SUB,Value(Operand index 2)  = Value(Operand index 0) - Value(Operand index 1) ,Operand index 0,Operand index 1,,Operand index 2
MUL,Value(Operand index 2)  = Value(Operand index 0) * Value(Operand index 1) ,Operand index 0,Operand index 1,,Operand index 2
MAX,"Value(Operand index 2) = max(Value(Operand index 0) , Value(Operand index 1))",Operand index 0,Operand index 1,,Operand index 2
MIN,"Value(Operand index 2) = min(Value(Operand index 0) , Value(Operand index 1))",Operand index 0,Operand index 1,,Operand index 2
EQ,Value(Operand index 2)  = Value(Operand index 0) == Value(Operand index 1) ? 1:0,Operand index 0,Operand index 1,,Operand index 2
LT,Value(Operand index 2)  = Value(Operand index 0) < Value(Operand index 1) ? 1:0,Operand index 0,Operand index 1,,Operand index 2
GT,Value(Operand index 2)  = Value(Operand index 0) > Value(Operand index 1) ? 1:0,Operand index 0,Operand index 1,,Operand index 2
MADD,Value(Operand index 2)  = Value(Operand index 0) * Value(Operand index 1) + Value(Operand index 2)  ,Operand index 0,Operand index 1,Operand index 2,Operand index 2
arith unsigned inst,
UADD,Value(Operand index 2)  = Value(Operand index 0) + Value(Operand index 1) ,Operand index 0,Operand index 1,,Operand index 2
USUB,Value(Operand index 2)  = Value(Operand index 0) - Value(Operand index 1) ,Operand index 0,Operand index 1,,Operand index 2
UMUL,Value(Operand index 2)  = Value(Operand index 0) * Value(Operand index 1) ,Operand index 0,Operand index 1,,Operand index 2
UMAX,"Value(Operand index 2) = max(Value(Operand index 0) , Value(Operand index 1))",Operand index 0,Operand index 1,,Operand index 2
DP4A,"Value(Operand index 2)(i) += Value(Operand index 0)(i)[7:0] * Value(Operand index 1)(i)[7:0]
                                       += Value(Operand index 0)(i)[15:8] * Value(Operand index 1)(i)[15:8]
                                       += Value(Operand index 0)(i)[23:16] * Value(Operand index 1)(i)[23:16]
                                       += Value(Operand index 0)(i)[31:24] * Value(Operand index 1)(i)[31:24]
32bits*simd32                            {4*8bits}*simd32                     {4*8bits}*simd32",Operand index 0,Operand index 1,,"Operand index 2
(dummy Reg)"
ULT,Value(Operand index 2)  = Value(Operand index 0) < Value(Operand index 1) ? 1:0,Operand index 0,Operand index 1,,Operand index 2
UGT,Value(Operand index 2)  = Value(Operand index 0) > Value(Operand index 1) ? 1:0,Operand index 0,Operand index 1,,Operand index 2
UMADD,Value(Operand index 2)  = Value(Operand index 0) * Value(Operand index 1) + Value(Operand index 2)  ,Operand index 0,Operand index 1,Operand index 2,Operand index 2
COND,Value(Operand index 2)  = Value(Operand index 0) > 0 ? Value(Operand index 1) : Value(Operand index 2),Operand index 0,Operand index 1,Operand index 2,Operand index 2
ULTS,Value(Operand index 2)  = Value(Operand index 0) < Value(Operand index 1) ? 1:0  ,Operand index 0,Operand index 1,,Operand index 2
,该指令为控制指令，若运算结果为1，则运算部件通知控制部件，提前结束当前subtask的instance迭代。
logic inst,
LSL,Value(Operand index 2)  = Value(Operand index 0) << Value(Operand index 1) ,Operand index 0,Operand index 1,,Operand index 2
LSR,Value(Operand index 2)  = Value(Operand index 0) >> Value(Operand index 1) ,Operand index 0,Operand index 1,,Operand index 2
OR,Value(Operand index 2)  = Value(Operand index 0) | Value(Operand index 1) ,Operand index 0,Operand index 1,,Operand index 2
AND,Value(Operand index 2)  = Value(Operand index 0) & Value(Operand index 1) ,Operand index 0,Operand index 1,,Operand index 2
NOT,Value(Operand index 2)  = ! Value(Operand index 0) ,Operand index 0,,,Operand index 2
XOR,Value(Operand index 2)  = Value(Operand index 0) ^ Value(Operand index 1) ,Operand index 0,Operand index 1,,Operand index 2
ASR,Value(Operand index 2)  = Value(Operand index 0) >> Value(Operand index 1) ,Operand index 0,Operand index 1,,Operand index 2
IMM,Value(Operand index 2)  = IMM,IMM(31:0),,,Operand index 2
FIMM,"Value(Operand index 2)  = ｛IMM,opr2(30),IMM,opr2(28),IMM,opr2(26),IMM,opr2(24),IMM,opr2(22),IMM,opr2(20),IMM,opr2(18),IMM,opr2(16),IMM,opr2(14),IMM,opr2(12),IMM,opr2(10),IMM,opr2(8),IMM,opr2(6),IMM,opr2(4),IMM,opr2(2),IMM,opr2(0)}",IMM(31:0),,Operand index 2,Operand index 2
,
HALF FLOAT,,,,,
HADD,Value(Operand index 2)  = Value(Operand index 0) + Value(Operand index 1) ,Operand index 0,Operand index 1,,Operand index 2
HSUB,Value(Operand index 2)  = Value(Operand index 0) - Value(Operand index 1) ,Operand index 0,Operand index 1,,Operand index 2
HMUL,Value(Operand index 2)  = Value(Operand index 0) * Value(Operand index 1) ,Operand index 0,Operand index 1,,Operand index 2
HMAX,"Value(Operand index 2) = max(Value(Operand index 0) , Value(Operand index 1))",Operand index 0,Operand index 1,,Operand index 2
HMIN,"Value(Operand index 2) = min(Value(Operand index 0) , Value(Operand index 1))",Operand index 0,Operand index 1,,Operand index 2
HLT,Value(Operand index 2)  = Value(Operand index 0) < Value(Operand index 1) ? 1:0,Operand index 0,Operand index 1,,Operand index 2
HGT,Value(Operand index 2)  = Value(Operand index 0) > Value(Operand index 1) ? 1:0,Operand index 0,Operand index 1,,Operand index 2
HMADD,Value(Operand index 2)  = Value(Operand index 0) * Value(Operand index 1) + Value(Operand index 2)  ,Operand index 0,Operand index 1,Operand index 2,Operand index 2
HDIV,Value(Operand index 2)  = Value(Operand index 0) / Value(Operand index 1) ,Operand index 0,Operand index 1,,Operand index 2
HSIS,超函数,Operand index 0,,,Operand index 2
FLOAT,,,,,
FADD,Value(Operand index 2)  = Value(Operand index 0) + Value(Operand index 1) ,Operand index 0,Operand index 1,,Operand index 2
